Config,n_neighbors,min_cluster_size,Clusters,Noise%,Silhouette,Davies-Bouldin
nn10_mcs3,10,3,112,25.9%,0.620,0.437
nn10_mcs5,10,5,103,25.4%,0.610,0.460
nn10_mcs7,10,7,92,23.3%,0.576,0.509
nn10_mcs10,10,10,60,23.6%,0.511,0.578
nn10_mcs15,10,15,35,27.8%,0.461,0.686
nn15_mcs3,15,3,104,27.8%,0.562,0.500
nn15_mcs5,15,5,91,26.9%,0.558,0.507
nn15_mcs7,15,7,79,24.6%,0.533,0.555
nn15_mcs10,15,10,58,27.5%,0.515,0.602
nn15_mcs15,15,15,36,32.8%,0.475,0.652
nn20_mcs3,20,3,111,32.0%,0.591,0.480
nn20_mcs5,20,5,99,31.0%,0.582,0.495
nn20_mcs7,20,7,78,27.5%,0.520,0.541
nn20_mcs10,20,10,54,30.9%,0.470,0.629
nn20_mcs15,20,15,35,35.4%,0.423,0.687
nn30_mcs3,30,3,95,31.5%,0.511,0.529
nn30_mcs5,30,5,81,32.1%,0.496,0.550
nn30_mcs7,30,7,75,34.1%,0.501,0.579
nn30_mcs10,30,10,42,28.6%,0.427,0.755
nn30_mcs15,30,15,2,0.9%,0.142,0.727
